agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
1253494,114639.6,4.0,2179070,2179071,1758588110911,true
1253495,114596.1,191.0,2179072,2179075,1758588163681,false
1253496,114616.6,151.0,2179076,2179078,1758588211665,true
1253497,114611.9,108.0,2179079,2179079,1758588211669,true
1253498,114608.1,200.0,2179080,2179080,1758588211669,true
1253499,114549.1,14.0,2179081,2179082,1758588257549,false
1253500,114549.1,16.0,2179083,2179084,1758588283050,false
1253501,114549.9,61.0,2179085,2179085,1758588283050,false
1253502,114593.6,3.0,2179086,2179087,1758588301416,true
1253503,114570.6,2.0,2179088,2179088,1758588316770,true
1253504,114570.6,1.0,2179089,2179089,1758588317131,true
1253505,114563.4,3.0,2179090,2179090,1758588324323,true
1253506,114541.1,3.0,2179091,2179091,1758588328192,false
1253507,114554.8,3.0,2179092,2179092,1758588376620,true
1253508,114541.1,1.0,2179093,2179093,1758588429238,false
1253509,114541.1,2.0,2179094,2179094,1758588434177,false
1253510,114541.3,64.0,2179095,2179095,1758588434177,false
1253511,114563.8,77.0,2179096,2179098,1758588462492,false
1253512,114563.8,114.0,2179099,2179101,1758588467338,false
1253513,114582.1,1.0,2179102,2179102,1758588467344,false
1253514,114593.6,3.0,2179103,2179103,1758588477153,true
1253515,114590.7,50.0,2179104,2179104,1758588480600,false
1253516,114602.4,3.0,2179105,2179105,1758588486253,true
1253517,114579.5,1.0,2179106,2179106,1758588510670,true
1253518,114579.5,2.0,2179107,2179107,1758588510929,true
1253519,114563.5,4.0,2179108,2179108,1758588547078,true
1253520,114541.1,5.0,2179109,2179110,1758588574198,false
1253521,114541.1,71.0,2179111,2179112,1758588603007,true
1253522,114541.0,208.0,2179113,2179114,1758588603008,true
1253523,114500.0,72.0,2179115,2179116,1758588663034,true
1253524,114487.9,59.0,2179117,2179117,1758588675035,true
1253525,114478.1,30.0,2179118,2179120,1758588675454,true
1253526,114437.3,3.0,2179121,2179122,1758588726132,false
1253527,114455.6,3.0,2179123,2179123,1758588734068,true
1253528,114437.4,67.0,2179124,2179126,1758588801621,true
